"game_id","name","max_players","playtime","min_age","min_players","age_of_game","users_rated","rating","CardGame","Wargame","Fantasy","Fighting","Economic","Science.Fiction","Dice","Party.Game","AbstractStrategy","Childrens.Game","WorldWarII","Bluffing","Humor","Animals","Adventure","Medieval","Action.Dexterity","Deduction","Movies.TV.Radiotheme","Miniatures"
114,"Ransom",6,45,12,2,28,70,6.42,"No","No","No","No","Yes","No","No","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
115,"I'm the Boss!",6,60,12,3,28,3062,6.82562,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
116,"Guillotine",5,30,12,2,24,15334,6.53873,"Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No"
117,"Ta Yü",4,45,10,2,23,1263,6.99002,"No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
118,"Modern Art",5,45,10,3,30,11439,7.30341,"Yes","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
119,"Kingdoms",4,45,9,2,28,3995,6.6327,"No","No","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No","Yes","No","No","No","No"
120,"Hoity Toity",6,45,12,2,32,4410,6.54518,"No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
121,"Dune",6,180,12,2,43,4563,7.61137,"No","No","No","Yes","No","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
122,"Quo Vadis?",5,45,12,3,30,1913,6.44426,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
124,"Primordial Soup",4,90,12,3,25,4240,6.98124,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
125,"Money!",5,30,10,3,23,2396,6.56467,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
126,"The Really Nasty Horse Racing Game",6,90,12,2,35,654,6.32087,"No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No"
127,"Princess Ryan's Star Marines",6,120,10,1,25,197,5.31929,"No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No"
128,"Take it Easy!",8,20,10,1,39,2046,6.59535,"No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
130,"Iron Dragon",6,240,12,2,28,1372,6.95603,"No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
132,"Caesar & Cleopatra",2,60,10,2,25,3837,6.4504,"Yes","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
133,"Frischfleisch",6,120,18,2,23,142,6.12852,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
134,"Cape Horn",5,45,12,3,23,516,6.003,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
135,"Kontor",4,60,12,2,23,688,5.97458,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
136,"Robin Hood",6,30,8,3,23,74,5.49324,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
137,"Pass the Bomb",10,20,12,2,28,935,5.90016,"No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No"
139,"Hoax",12,45,10,3,41,198,6.03409,"No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","Yes","No","No"
141,"Andromeda",5,60,10,3,23,1189,6.41569,"No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
142,"Vino",5,90,12,3,23,639,6.47906,"No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
144,"Elfenwizards",6,90,10,3,27,104,6.175,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
145,"Metropolis",5,90,16,2,38,324,6.44617,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
146,"Buy Low Sell High",4,45,10,2,26,825,6.1628,"No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
147,"Crude: The Oil Game",4,90,13,2,48,930,6.77777,"No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
148,"Die Glücksritter",6,60,8,3,23,125,5.7768,"No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","Yes","No","No","No","No"
150,"PitchCar",8,30,6,2,27,7562,7.24935,"No","No","No","No","No","No","No","Yes","No","Yes","No","No","No","No","No","No","Yes","No","No","No"
151,"Piratenbillard",4,15,8,2,63,336,6.56711,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No"
152,"Mu & more",8,60,11,2,27,1711,7.18178,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
153,"Take 5!",6,60,10,2,24,1414,6.42598,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
154,"Union vs. Central",2,360,12,2,23,81,6.66914,"Yes","No","No","No","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No"
155,"Was sticht?",4,60,12,3,29,573,6.96495,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No"
156,"Wildlife Adventure",6,60,10,2,37,517,6.89775,"No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No"
157,"Eurorails",6,240,10,2,32,1561,7.05898,"No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
